Route_ID,Route_Name,Action_Taken,New_Route_ID,Route_KM,Route_Type,OSRM_Duration_S,Cycle_Time_Min,Congestion_Zone,N_Stops_Estimated,Stop_Penalty_Min,Sharp_Turns,Junction_Penalty_Min,Pop_Score,POI_Score,Road_Multiplier,Final_CDI,Social_Flag,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,HV_POI_Count,Overlap_Metric,Geo_Source,Map_File
R0237,JANIPUR ↔ BAHUFORT,RETAINED_AS_FEEDER,FDR-056,8.324,Urban,641.2,105.3,City_Core,16,24.0,5,2.5,0.8376,0.2107,0.75,0.3931,True,MP,30,4,0,4,False,,169,10,0.2194,OSRM,route_maps/FDR-056.html
R0238,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-186,23.046,Peri_Urban,1333.7,257.3,City_Core,46,69.0,7,3.5,0.6104,0.1147,0.75,0.2719,True,MP,30,9,0,9,False,,342,14,0.1589,OSRM,route_maps/FDR-186.html
R0239,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-191,32.51,Peri_Urban,2554.8,417.3,City_Core,65,97.5,14,7.0,0.622,0.0958,0.75,0.2692,True,MP,30,14,0,14,False,,486,16,0.1534,OSRM,route_maps/FDR-191.html
R0245,JANIPUR ↔ DASSORE,RETAINED_AS_FEEDER,FDR-095,16.004,Peri_Urban,866.9,171.4,City_Core,32,48.0,2,1.0,0.8043,0.157,0.75,0.3605,True,MP,30,6,0,6,False,,309,13,0.2135,OSRM,route_maps/FDR-095.html
R0247,JANIPUR ↔ TOP MANASA,RETAINED_AS_FEEDER,FDR-321,20.999,Peri_Urban,2013.4,292.8,City_Core,41,61.5,9,4.5,0.3615,0.0673,0.75,0.1608,True,MP,30,10,0,10,False,,194,8,0.141,OSRM,route_maps/FDR-321.html
R0248,JANIPUR ↔ CHATHA,RETAINED_AS_FEEDER,FDR-026,9.507,Urban,552.6,107.6,City_Core,19,28.5,4,2.0,0.9532,0.2368,0.75,0.4462,True,MP,30,4,0,4,False,,218,11,0.3,OSRM,route_maps/FDR-026.html
R0249,JANIPUR ↔ MISHRIWALA,RETAINED_AS_FEEDER,FDR-325,45.591,Regional_District,3687.4,586.1,City_Core,91,136.5,14,7.0,0.3626,0.0465,0.75,0.1534,True,MP,90,7,0,7,False,,392,11,0.1289,OSRM,route_maps/FDR-325.html
R0250,JANIPUR ↔ GARHI LADORE,RETAINED_AS_FEEDER,FDR-427,3.38,Urban,336.8,54.4,City_Core,6,9.0,9,4.5,0.9319,0.0697,0.75,0.3756,True,MP,30,2,0,2,False,,139,1,0.1386,OSRM,route_maps/FDR-427.html
R0251,JANIPUR ↔ TRIKUTA NAGAR,RETAINED_AS_FEEDER,FDR-021,10.29,Urban,697.0,129.2,City_Core,20,30.0,11,5.5,0.9305,0.3053,0.75,0.4634,True,MP,30,5,0,5,False,,231,15,0.2483,OSRM,route_maps/FDR-021.html
R0253,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-156,20.14,Peri_Urban,1511.5,249.4,City_Core,40,60.0,6,3.0,0.653,0.1248,0.75,0.2917,True,MP,30,9,0,9,False,,315,13,0.1707,OSRM,route_maps/FDR-156.html
