New_Route_ID,Route_Name,Action_Taken,Route_Type,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,Social_Flag
FDR-323,SATWARI ↔ HAKHAL,RETAINED_AS_FEEDER,Peri_Urban,MP,30,6,0,6,False,,296,True
FDR-251,SATWARI ↔ MANDAL PHALIAN CHANNI,RETAINED_AS_FEEDER,Peri_Urban,MP,30,11,0,11,False,,725,True
FDR-260,SATWARI ↔ KHERI RAYAL,RETAINED_AS_FEEDER,Peri_Urban,MP,30,11,0,11,False,,613,True
FDR-479,SATWARI ↔ KIRPALPUR SARDARA CHAK,RETAINED_AS_FEEDER,Urban,LP,60,2,0,2,False,,115,False
FDR-221,SATWARI (CANTONMENT BOARD GROUND ↔ SHER E KASHMIR UNIVERSITY,RETAINED_AS_FEEDER,Urban,MP,30,5,0,5,False,,388,True
FDR-362,SATWARI TO ↔ REHAL,RETAINED_AS_FEEDER,Peri_Urban,LP,60,4,0,4,False,,395,False
CMP-03,Janipur to Miran Sahib,UPGRADED_TO_TRUNK,Peri_Urban,MP,10,23,20,3,True,CMP-03,318,True
CMP-06,Panjtirthi to Bagh-E-Bahu,UPGRADED_TO_TRUNK,Urban,HP,10,7,6,1,True,CMP-06,411,False
CMP-07,Jewel Chowk to Marh,UPGRADED_TO_TRUNK,Urban,MP,10,16,14,2,True,CMP-07,236,True
CMP-08,Amphala to Rahya Suchani,UPGRADED_TO_TRUNK,Peri_Urban,MP,10,39,34,5,True,CMP-08,558,True
CMP-10,Satwari to Vijaypur,UPGRADED_TO_TRUNK,Peri_Urban,MP,10,33,29,4,True,CMP-10,1096,False
CMP-11,B.C. Road Bus Terminal to Domana,UPGRADED_TO_TRUNK,Urban,HP,10,13,12,1,True,CMP-11,253,True
CMP-12,Railway Station to Nagrota,UPGRADED_TO_TRUNK,Urban,MP,10,18,16,2,True,CMP-12,408,False
CMP-13,B.C. Road Terminal to Jagti Township,UPGRADED_TO_TRUNK,Peri_Urban,MP,10,18,16,2,True,CMP-13,168,True
