Route_ID,Route_Name,Route_Code,Action_Taken,New_Route_ID,Displaced_Operator_Class,Route_KM,Route_Type,OSRM_Duration_S,Cycle_Time_Min,Congestion_Zone,N_Stops_Estimated,Stop_Penalty_Min,Sharp_Turns,Junction_Penalty_Min,Pop_Score,POI_Score,Road_Multiplier,Final_CDI,Social_Flag,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,LPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,Population_Served_Raw,Corridor_Competitors,HV_POI_Count,Overlap_Metric,Geo_Source,Tourist_Corridor,Seasonal_Operability,District_HQ_Floor,SSCL_CDI_Conflict,SSCL_CDI_Conflict_Strong,SSCL_CDI_Conflict_Weak_SSCL,Daily_Trips,Daily_KM,Daily_Capacity_Pax,Daily_Demand_Pax,Load_Ratio,Load_Flag,Pax_Journey_Time_Min,Journey_Time_Flag,Daily_Revenue_INR,Daily_Op_Cost_INR,Viability_Ratio,Subsidy_Risk_Flag,Emissions_GCO2_Daily,Equity_Score,Map_File
R0027,Soura to Hazratbal,SRSR10105818,MERGED_INTO_TRUNK,TRK-031,LPV / Tempo,8.337,Urban,1248.4,66.7,City_Core,16,8.0,6,3.0,0.6895,0.4061,1.25,0.5478,False,MP,35,0,0,0,0,False,,0,59647,163,41,0.0349,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,54.9,457.3,0.0,409.0,0.0,Red_NoCapacity,56.4,True,4088.0,29727.0,0.138,True,434477.0,0.123,route_maps_kashmir/TRK-031.html
R0028,Soura to LD,SRSR10105860,MERGED_INTO_TRUNK,FDR-054,LPV / Tempo,7.325,Urban,606.8,58.6,City_Core,14,7.0,13,6.5,1.0,0.5994,1.25,0.7997,True,HP,20,0,0,0,0,False,,0,71571,247,65,0.1215,OSRM,False,Year_Round,False,False,False,False,96.0,703.2,0.0,163.0,0.0,Red_NoCapacity,44.8,False,1627.0,45708.0,0.036,False,668040.0,0.146,route_maps_kashmir/FDR-054.html
R0029,Jehangir Chowk to JVC,SRSR10102559,MERGED_INTO_TRUNK,FDR-260,LPV / Tempo,8.334,Urban,646.4,66.7,City_Core,16,8.0,15,7.5,0.678,0.3067,1.25,0.4924,False,MP,35,0,0,0,0,False,,0,58845,361,27,0.1862,OSRM,False,Year_Round,False,False,False,False,54.9,457.2,0.0,34.0,0.0,Red_NoCapacity,56.4,True,341.0,29717.0,0.011,True,434320.0,0.055,route_maps_kashmir/FDR-260.html
R0030,Jehangir Chowk to JVC,SRSR10102559,MERGED_INTO_TRUNK,FDR-260,LPV / Tempo,8.334,Urban,646.4,66.7,City_Core,16,8.0,15,7.5,0.678,0.3067,1.25,0.4924,False,MP,35,0,0,0,0,False,,0,58845,361,27,0.1862,OSRM,False,Year_Round,False,False,False,False,54.9,457.2,0.0,34.0,0.0,Red_NoCapacity,56.4,True,341.0,29717.0,0.011,True,434320.0,0.055,route_maps_kashmir/FDR-260.html
R0031,Jehangir Chowk to Budgam,SRBG10022504,RETAINED_AS_FEEDER,FDR-462,,45.581,Regional_District,2755.2,136.7,City_Core,91,45.5,9,4.5,0.2918,0.1206,0.75,0.2062,False,LP,35,5,0,0,5,False,,12772,179264,482,78,0.1126,OSRM,False,Year_Round,False,False,False,False,54.9,2500.4,702.0,77.0,0.11,Amber_Under,91.4,True,773.0,162529.0,0.005,True,2375421.0,0.125,route_maps_kashmir/FDR-462.html
R0032,Parimpora to Saidakadal,BGSR02102161,RETAINED_AS_FEEDER,FDR-101,,14.067,Urban,1375.0,112.5,City_Core,28,14.0,4,2.0,0.8295,0.4765,0.75,0.653,False,HP,20,7,0,0,7,False,,7414,116598,540,68,0.2185,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,96.0,1350.4,1195.0,67.0,0.056,Amber_Under,71.8,True,674.0,87778.0,0.008,True,1282910.0,0.072,route_maps_kashmir/FDR-101.html
R0033,Jehangir Chowk to JVC,SRSR10102559,MERGED_INTO_TRUNK,FDR-260,LPV / Tempo,8.334,Urban,646.4,66.7,City_Core,16,8.0,15,7.5,0.678,0.3067,1.25,0.4924,False,MP,35,0,0,0,0,False,,0,58845,361,27,0.1862,OSRM,False,Year_Round,False,False,False,False,54.9,457.2,0.0,34.0,0.0,Red_NoCapacity,56.4,True,341.0,29717.0,0.011,True,434320.0,0.055,route_maps_kashmir/FDR-260.html
R0034,Sora to Parimpora,SRBG10025021,MERGED_INTO_TRUNK,FDR-180,LPV / Tempo,12.572,Urban,1134.0,100.6,City_Core,25,12.5,28,14.0,0.597,0.2391,1.25,0.418,False,MP,35,0,0,0,0,False,,0,80530,307,48,0.1001,OSRM,False,Year_Round,False,False,False,False,54.9,689.7,0.0,102.0,0.0,Red_NoCapacity,73.3,True,1022.0,44828.0,0.023,True,655181.0,0.088,route_maps_kashmir/FDR-180.html
R0035,Jehangir Chowk to HMT,SRSR10102521,RETAINED_AS_FEEDER,FDR-270,,10.311,Urban,654.3,82.5,City_Core,20,10.0,10,5.0,0.6477,0.2503,0.75,0.449,False,MP,35,4,0,0,4,False,,6235,70280,387,30,0.26,OSRM,False,Year_Round,False,False,False,False,54.9,565.6,931.0,27.0,0.029,Amber_Under,64.2,True,272.0,36766.0,0.007,True,537350.0,0.061,route_maps_kashmir/FDR-270.html
R0036,Parimpora to Pantha Chowk,BGSR02102140,RETAINED_AS_FEEDER,FDR-287,,21.307,Peri_Urban,1713.4,106.5,City_Core,42,21.0,5,2.5,0.5783,0.3124,0.75,0.4454,False,MP,35,5,0,0,5,False,,8715,133241,525,73,0.2278,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,54.9,1168.8,901.0,35.0,0.039,Amber_Under,76.2,True,348.0,75975.0,0.005,True,1110399.0,0.085,route_maps_kashmir/FDR-287.html
