Route_ID,Route_Name,Action_Taken,New_Route_ID,Displaced_Operator_Class,Route_KM,Route_Type,Congestion_Zone,Pop_Score,POI_Score,Road_Multiplier,Final_CDI,Social_Flag,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,CMP_Trunk,CMP_Route_ID,Overlap_Metric,Population_Served,HV_POI_Count,Sharp_Turns,Junction_Penalty_Min,N_Stops_Estimated,Stop_Penalty_Min,OSRM_Duration_S,Cycle_Time_Min,Geo_Source,Reasoning_String
R0234,BATAMALLO ↔ PANTHACHOWK,MERGED_INTO_TRUNK,FDR-236,Private Minibus,17.436,Peri_Urban,Peri_Urban,0.5156,0.1102,1.25,0.3129,False,MP,35,0,0,0,False,,0.1231,5033,29,7,3.5,34,17.0,1539.8,87.2,OSRM+JhelumBridge,Route R0234 (BATAMALLO ↔ PANTHACHOWK) merged into Trunk FDR-236. Spatial overlap with trunk corridor. CDI=0.3129. Fleet=0 (counted under Trunk). 
R0235,PARIMPORA ↔ PANTHACHOWK,MERGED_INTO_TRUNK,FDR-200,Private Minibus,26.746,Peri_Urban,City_Core,0.4886,0.2229,1.25,0.3558,False,MP,35,0,0,0,False,,0.227,3358,70,3,1.5,53,26.5,2193.5,133.7,OSRM+JhelumBridge,Route R0235 (PARIMPORA ↔ PANTHACHOWK) merged into Trunk FDR-200. Spatial overlap with trunk corridor. CDI=0.3558. Fleet=0 (counted under Trunk). 
R0236,PARIMPORA ↔ PATHACHOWK,MERGED_INTO_TRUNK,FDR-200,Private Minibus,26.746,Peri_Urban,City_Core,0.4886,0.2229,1.25,0.3558,False,MP,35,0,0,0,False,,0.227,3358,70,3,1.5,53,26.5,2193.5,133.7,OSRM+JhelumBridge,Route R0236 (PARIMPORA ↔ PATHACHOWK) merged into Trunk FDR-200. Spatial overlap with trunk corridor. CDI=0.3558. Fleet=0 (counted under Trunk). 
R0237,LD ↔ PAMPORE,MERGED_INTO_TRUNK,FDR-146,Private Minibus,16.983,Peri_Urban,Peri_Urban,0.5271,0.2615,1.25,0.3943,False,MP,35,0,0,0,False,,0.1766,3382,50,4,2.0,33,16.5,1451.5,84.9,OSRM+JhelumBridge,Route R0237 (LD ↔ PAMPORE) merged into Trunk FDR-146. Spatial overlap with trunk corridor. CDI=0.3943. Fleet=0 (counted under Trunk). 
R0238,PARIMPORA ↔ PAMPORE,RETAINED_AS_FEEDER,FDR-191,,29.256,Peri_Urban,City_Core,0.4938,0.2208,0.75,0.3573,False,MP,35,6,0,0,False,,0.215,3703,79,2,1.0,58,29.0,2285.9,146.3,OSRM+JhelumBridge,"Route R0238 (PARIMPORA ↔ PAMPORE) → Feeder FDR-191. Route_Type=Peri_Urban | Zone=City_Core | CDI=0.3573 | Band=MP | Headway=35 min | Fleet=6 (HPV=0 enforced, MPV=0 — 100%% MPV). Distinct catchment: 9.08% of CMP 2024 pop. residents over 29.3 km. "
R0239,PARIMPORA ↔ BUDGAM,MERGED_INTO_TRUNK,FDR-329,Private Minibus,15.179,Peri_Urban,City_Core,0.0,0.0,1.25,0.0,False,LP,35,0,0,0,False,,0.069,1363,0,3,1.5,30,15.0,1439.3,75.9,OSRM,Route R0239 (PARIMPORA ↔ BUDGAM) merged into Trunk FDR-329. Spatial overlap with trunk corridor. CDI=0.0000. Fleet=0 (counted under Trunk). 
R0240,PARIMPORA ↔ PAMPORE,MERGED_INTO_TRUNK,FDR-190,Private Minibus,29.256,Peri_Urban,City_Core,0.4938,0.2208,1.25,0.3573,False,MP,35,0,0,0,False,,0.215,3703,79,2,1.0,58,29.0,2285.9,146.3,OSRM+JhelumBridge,Route R0240 (PARIMPORA ↔ PAMPORE) merged into Trunk FDR-190. Spatial overlap with trunk corridor. CDI=0.3573. Fleet=0 (counted under Trunk). 
R0241,LD ↔ PAMPORE,MERGED_INTO_TRUNK,FDR-146,Private Minibus,16.983,Peri_Urban,Peri_Urban,0.5271,0.2615,1.25,0.3943,False,MP,35,0,0,0,False,,0.1766,3382,50,4,2.0,33,16.5,1451.5,84.9,OSRM+JhelumBridge,Route R0241 (LD ↔ PAMPORE) merged into Trunk FDR-146. Spatial overlap with trunk corridor. CDI=0.3943. Fleet=0 (counted under Trunk). 
R0242,BATAMALLO ↔ PANTHACHOWK,MERGED_INTO_TRUNK,FDR-252,LPV / Tempo,17.436,Peri_Urban,Peri_Urban,0.5156,0.1102,1.25,0.3129,False,MP,35,0,0,0,False,,0.1231,5033,29,7,3.5,34,17.0,1539.8,87.2,OSRM+JhelumBridge,Route R0242 (BATAMALLO ↔ PANTHACHOWK) merged into Trunk FDR-252. Spatial overlap with trunk corridor. CDI=0.3129. Fleet=0 (counted under Trunk). 
R0243,PARIMPORA ↔ PAMPORE,MERGED_INTO_TRUNK,FDR-190,Private Minibus,29.256,Peri_Urban,City_Core,0.4938,0.2208,1.25,0.3573,False,MP,35,0,0,0,False,,0.215,3703,79,2,1.0,58,29.0,2285.9,146.3,OSRM+JhelumBridge,Route R0243 (PARIMPORA ↔ PAMPORE) merged into Trunk FDR-190. Spatial overlap with trunk corridor. CDI=0.3573. Fleet=0 (counted under Trunk). 
R0244,PARIMPORA ↔ BUDGAM,MERGED_INTO_TRUNK,FDR-329,Private Minibus,15.179,Peri_Urban,City_Core,0.0,0.0,1.25,0.0,False,LP,35,0,0,0,False,,0.069,1363,0,3,1.5,30,15.0,1439.3,75.9,OSRM,Route R0244 (PARIMPORA ↔ BUDGAM) merged into Trunk FDR-329. Spatial overlap with trunk corridor. CDI=0.0000. Fleet=0 (counted under Trunk). 
R0245,PARIMPORA ↔ BUDGAM,MERGED_INTO_TRUNK,FDR-329,Private Minibus,15.179,Peri_Urban,City_Core,0.0,0.0,1.25,0.0,False,LP,35,0,0,0,False,,0.069,1363,0,3,1.5,30,15.0,1439.3,75.9,OSRM,Route R0245 (PARIMPORA ↔ BUDGAM) merged into Trunk FDR-329. Spatial overlap with trunk corridor. CDI=0.0000. Fleet=0 (counted under Trunk). 
R0246,MALBAGH ↔ LD,RETAINED_AS_FEEDER,FDR-084,,13.163,Urban,City_Core,0.9994,0.4686,0.75,0.734,False,HP,20,7,0,0,False,,0.1838,3671,81,6,3.0,26,13.0,1337.8,105.3,OSRM+JhelumBridge,"Route R0246 (MALBAGH ↔ LD) → Feeder FDR-084. Route_Type=Urban | Zone=City_Core | CDI=0.7340 | Band=HP | Headway=20 min | Fleet=7 (HPV=0 enforced, MPV=0 — 100%% MPV). Distinct catchment: 7.21% of CMP 2024 pop. residents over 13.2 km. "
R0247,LD ↔ PAMPORE,MERGED_INTO_TRUNK,FDR-146,Private Minibus,16.983,Peri_Urban,Peri_Urban,0.5271,0.2615,1.25,0.3943,False,MP,35,0,0,0,False,,0.1766,3382,50,4,2.0,33,16.5,1451.5,84.9,OSRM+JhelumBridge,Route R0247 (LD ↔ PAMPORE) merged into Trunk FDR-146. Spatial overlap with trunk corridor. CDI=0.3943. Fleet=0 (counted under Trunk). 
R0248,HAZRATBAL ↔ LD,MERGED_INTO_TRUNK,FDR-001,Private Minibus,11.457,Urban,City_Core,0.7727,0.4337,1.25,0.6032,False,HP,20,0,0,0,False,,0.2023,2764,56,9,4.5,22,11.0,1420.1,91.7,OSRM+JhelumBridge,Route R0248 (HAZRATBAL ↔ LD) merged into Trunk FDR-001. Spatial overlap with trunk corridor. CDI=0.6032. Fleet=0 (counted under Trunk). 
R0249,PARIMPORA ↔ BUDGAM,MERGED_INTO_TRUNK,FDR-329,Private Minibus,15.179,Peri_Urban,City_Core,0.0,0.0,1.25,0.0,False,LP,35,0,0,0,False,,0.069,1363,0,3,1.5,30,15.0,1439.3,75.9,OSRM,Route R0249 (PARIMPORA ↔ BUDGAM) merged into Trunk FDR-329. Spatial overlap with trunk corridor. CDI=0.0000. Fleet=0 (counted under Trunk). 
R0250,LD ↔ PAMPORE,MERGED_INTO_TRUNK,FDR-146,Private Minibus,16.983,Peri_Urban,Peri_Urban,0.5271,0.2615,1.25,0.3943,False,MP,35,0,0,0,False,,0.1766,3382,50,4,2.0,33,16.5,1451.5,84.9,OSRM+JhelumBridge,Route R0250 (LD ↔ PAMPORE) merged into Trunk FDR-146. Spatial overlap with trunk corridor. CDI=0.3943. Fleet=0 (counted under Trunk). 
R0251,RANGPORA ↔ LALCHOWK,MERGED_INTO_TRUNK,FDR-087,LPV / Tempo,13.983,Urban,City_Core,0.9243,0.5377,1.25,0.731,False,HP,20,0,0,0,False,,0.151,3784,96,12,6.0,27,13.5,853.2,111.7,OSRM,Route R0251 (RANGPORA ↔ LALCHOWK) merged into Trunk FDR-087. Spatial overlap with trunk corridor. CDI=0.7310. Fleet=0 (counted under Trunk). 
R0252,LD ↔ PAMPORE,MERGED_INTO_TRUNK,FDR-146,Private Minibus,16.983,Peri_Urban,Peri_Urban,0.5271,0.2615,1.25,0.3943,False,MP,35,0,0,0,False,,0.1766,3382,50,4,2.0,33,16.5,1451.5,84.9,OSRM+JhelumBridge,Route R0252 (LD ↔ PAMPORE) merged into Trunk FDR-146. Spatial overlap with trunk corridor. CDI=0.3943. Fleet=0 (counted under Trunk). 
R0253,RANGPORA ↔ LALCHOWK,MERGED_INTO_TRUNK,FDR-087,LPV / Tempo,13.983,Urban,City_Core,0.9243,0.5377,1.25,0.731,False,HP,20,0,0,0,False,,0.151,3784,96,12,6.0,27,13.5,853.2,111.7,OSRM,Route R0253 (RANGPORA ↔ LALCHOWK) merged into Trunk FDR-087. Spatial overlap with trunk corridor. CDI=0.7310. Fleet=0 (counted under Trunk). 
R0254,LD ↔ PAMPORE,MERGED_INTO_TRUNK,FDR-146,Private Minibus,16.983,Peri_Urban,Peri_Urban,0.5271,0.2615,1.25,0.3943,False,MP,35,0,0,0,False,,0.1766,3382,50,4,2.0,33,16.5,1451.5,84.9,OSRM+JhelumBridge,Route R0254 (LD ↔ PAMPORE) merged into Trunk FDR-146. Spatial overlap with trunk corridor. CDI=0.3943. Fleet=0 (counted under Trunk). 
R0255,HAZRATBAL ↔ LD,MERGED_INTO_TRUNK,FDR-001,Private Minibus,11.457,Urban,City_Core,0.7727,0.4337,1.25,0.6032,False,HP,20,0,0,0,False,,0.2023,2764,56,9,4.5,22,11.0,1420.1,91.7,OSRM+JhelumBridge,Route R0255 (HAZRATBAL ↔ LD) merged into Trunk FDR-001. Spatial overlap with trunk corridor. CDI=0.6032. Fleet=0 (counted under Trunk). 
R0256,LALBAZAR ↔ LD,MERGED_INTO_TRUNK,FDR-062,Private Minibus,11.37,Urban,City_Core,0.9872,0.596,1.25,0.7916,False,HP,20,0,0,0,False,,0.2162,3255,81,8,4.0,22,11.0,1186.9,91.0,OSRM+JhelumBridge,Route R0256 (LALBAZAR ↔ LD) merged into Trunk FDR-062. Spatial overlap with trunk corridor. CDI=0.7916. Fleet=0 (counted under Trunk). 
R0257,LALBAZAR ↔ LD,MERGED_INTO_TRUNK,FDR-062,Private Minibus,11.37,Urban,City_Core,0.9872,0.596,1.25,0.7916,False,HP,20,0,0,0,False,,0.2162,3255,81,8,4.0,22,11.0,1186.9,91.0,OSRM+JhelumBridge,Route R0257 (LALBAZAR ↔ LD) merged into Trunk FDR-062. Spatial overlap with trunk corridor. CDI=0.7916. Fleet=0 (counted under Trunk). 
R0258,LD ↔ PAMPORE,MERGED_INTO_TRUNK,FDR-146,Private Minibus,16.983,Peri_Urban,Peri_Urban,0.5271,0.2615,1.25,0.3943,False,MP,35,0,0,0,False,,0.1766,3382,50,4,2.0,33,16.5,1451.5,84.9,OSRM+JhelumBridge,Route R0258 (LD ↔ PAMPORE) merged into Trunk FDR-146. Spatial overlap with trunk corridor. CDI=0.3943. Fleet=0 (counted under Trunk). 
