New_Route_ID,Route_Name,Action_Taken,Route_Type,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,LPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,Social_Flag
FDR-009,Yaripora to Srinagar,RETAINED_AS_FEEDER,Regional_District,LP,35,7,3,4,0,False,,12546,False
FDR-439,Pulwama to Srinagar,RETAINED_AS_FEEDER,Peri_Urban,LP,35,6,2,4,0,False,,9643,False
FDR-034,Koil to Srinagar,RETAINED_AS_FEEDER,Peri_Urban,LP,35,6,2,4,0,False,,9242,False
FDR-500,Wasoora to Srinagar,RETAINED_AS_FEEDER,Peri_Urban,MP,35,7,3,4,0,False,,11443,True
FDR-435,Srinagar to Lettar,RETAINED_AS_FEEDER,Peri_Urban,LP,35,6,2,4,0,False,,9822,False
FDR-437,Letter to Srinagar,RETAINED_AS_FEEDER,Peri_Urban,LP,35,6,2,4,0,False,,9765,False
FDR-501,Heff to Srinagar,RETAINED_AS_FEEDER,Regional_District,MP,35,5,2,3,0,False,,11615,True
FDR-522,Srinagar to Keller,RETAINED_AS_FEEDER,Regional_District,MP,35,6,2,4,0,False,,12016,True
FDR-524,Keller to Srinagar,RETAINED_AS_FEEDER,Regional_District,MP,35,6,2,4,0,False,,11991,True
FDR-523,Sangerwani to Srinagar,RETAINED_AS_FEEDER,Regional_District,LP,35,5,2,3,0,False,,10549,False
FDR-515,Pakherpora to Srinagar,RETAINED_AS_FEEDER,Regional_District,LP,35,5,2,3,0,False,,10596,False
FDR-010,Anantnagh to Srinagar,RETAINED_AS_FEEDER,Regional_District,LP,35,7,3,4,0,False,,16474,False
FDR-020,Mawan to Srinagar,RETAINED_AS_FEEDER,Regional_District,MP,35,6,2,4,0,False,,15010,True
FDR-021,Devsur to Srinagar,RETAINED_AS_FEEDER,Regional_District,LP,35,7,3,4,0,False,,12562,False
FDR-022,Lammer to Anantnagh,RETAINED_AS_FEEDER,Urban,MP,35,2,1,1,0,False,,40216,True
FDR-030,Anantnagh to Shopian,RETAINED_AS_FEEDER,Regional_District,LP,35,5,2,3,0,False,,102363,False
FDR-430,Srinagar to NEW Khanda,RETAINED_AS_FEEDER,Urban,LP,35,6,0,6,0,False,,8696,False
