Route_Code,Route_ID,Route_Name,Action_Taken,New_Route_ID,Displaced_Operator_Class,Route_KM,Route_Type,OSRM_Duration_S,Cycle_Time_Min,Congestion_Zone,N_Stops_Estimated,Stop_Penalty_Min,Sharp_Turns,Junction_Penalty_Min,Pop_Score,POI_Score,Road_Multiplier,Final_CDI,Social_Flag,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,LPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,Population_Served_Raw,Corridor_Competitors,HV_POI_Count,Overlap_Metric,Geo_Source,Tourist_Corridor,Seasonal_Operability,District_HQ_Floor,SSCL_CDI_Conflict,SSCL_CDI_Conflict_Strong,SSCL_CDI_Conflict_Weak_SSCL,Daily_Trips,Daily_KM,Daily_Capacity_Pax,Daily_Demand_Pax,Load_Ratio,Load_Flag,Pax_Journey_Time_Min,Journey_Time_Flag,Daily_Revenue_INR,Daily_Op_Cost_INR,Viability_Ratio,Subsidy_Risk_Flag,Emissions_GCO2_Daily,Equity_Score,Map_File
SRSR10105818-02,R0022,Soura to Hazratbal,MERGED_INTO_TRUNK,TRK-040,LPV / Tempo,8.337,Urban,1248.4,66.7,City_Core,16,8.0,6,3.0,0.6876,0.3562,1.25,0.5219,False,MP,35,0,0,0,0,False,,0,59647,134,41,0.0454,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,54.9,457.3,0.0,364.0,0.0,Red_NoCapacity,56.4,True,3636.0,29727.0,0.122,True,434477.0,0.141,route_maps_kashmir/TRK-040.html
SRSR10105860-05,R0023,Soura to LD,MERGED_INTO_TRUNK,FDR-114,LPV / Tempo,7.325,Urban,606.8,58.6,City_Core,14,7.0,13,6.5,1.0,0.5257,1.25,0.7628,True,HP,20,0,0,0,0,False,,0,71571,212,65,0.1479,OSRM,False,Year_Round,False,False,False,False,96.0,703.2,0.0,148.0,0.0,Red_NoCapacity,44.8,False,1481.0,45708.0,0.032,False,668040.0,0.16,route_maps_kashmir/FDR-114.html
BGSR02102161-01,R0024,Parimpora to Saidakadal,UPGRADED_TO_TRUNK,TRK-045,,14.067,Urban,1375.0,112.5,City_Core,28,14.0,4,2.0,0.8285,0.4179,1.25,0.6232,False,HP,20,7,4,3,0,False,,8301,116598,342,68,0.1865,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,96.0,1350.4,2944.0,119.0,0.04,Amber_Under,71.8,True,1186.0,87778.0,0.014,True,1282910.0,0.108,route_maps_kashmir/TRK-045.html
SRBG10025021,R0025,Sora to Parimpora,MERGED_INTO_TRUNK,TRK-039,LPV / Tempo,12.572,Urban,1134.0,100.6,City_Core,25,12.5,28,14.0,0.5946,0.2097,1.25,0.4022,False,MP,35,0,0,0,0,False,,0,80530,229,48,0.0942,OSRM,False,Year_Round,False,False,False,False,54.9,689.7,0.0,138.0,0.0,Red_NoCapacity,73.3,True,1384.0,44828.0,0.031,True,655181.0,0.111,route_maps_kashmir/TRK-039.html
BGSR02102140-01,R0026,Parimpora to Pantha Chowk,RETAINED_AS_FEEDER,FDR-225,,21.307,Peri_Urban,1713.4,106.5,City_Core,42,21.0,5,2.5,0.5757,0.274,0.75,0.4248,False,MP,35,5,0,0,5,False,,9921,133241,327,73,0.2159,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,54.9,1168.8,901.0,56.0,0.062,Amber_Under,76.2,True,560.0,75975.0,0.007,True,1110399.0,0.129,route_maps_kashmir/FDR-225.html
SRSR10105860-06,R0027,Soura to LD,MERGED_INTO_TRUNK,FDR-114,LPV / Tempo,10.817,Urban,798.2,86.5,City_Core,21,10.5,11,5.5,0.7852,0.3878,1.25,0.5865,True,HP,20,0,0,0,0,False,,0,85889,212,69,0.131,OSRM,False,Year_Round,False,False,False,False,96.0,1038.4,0.0,201.0,0.0,Red_NoCapacity,58.8,True,2007.0,67498.0,0.03,False,986510.0,0.192,route_maps_kashmir/FDR-114.html
BGBG02022106-03,R0028,Parimpora to Chadora,MERGED_INTO_TRUNK,FDR-041,Private Minibus,25.928,Peri_Urban,1186.3,129.6,City_Core,51,25.5,7,3.5,0.1556,0.0148,1.25,0.0852,False,LP,35,0,0,0,0,False,,0,74417,170,12,0.0671,OSRM,False,Year_Round,False,False,False,False,54.9,1422.3,0.0,194.0,0.0,Red_NoCapacity,87.8,True,1936.0,92452.0,0.021,True,1351219.0,0.139,route_maps_kashmir/FDR-041.html
SRSR10105860-07,R0029,Soura to LD,MERGED_INTO_TRUNK,FDR-114,LPV / Tempo,10.099,Urban,682.4,80.8,City_Core,20,10.0,8,4.0,0.9721,0.5242,1.25,0.7482,True,HP,20,0,0,0,0,False,,0,95384,256,75,0.1554,OSRM,False,Year_Round,False,False,False,False,96.0,969.5,0.0,156.0,0.0,Red_NoCapacity,55.9,True,1556.0,63018.0,0.025,False,921029.0,0.177,route_maps_kashmir/FDR-114.html
SRAN10015813-02,R0030,Soura to Railway Station,RETAINED_AS_FEEDER,FDR-137,,18.412,Peri_Urban,1608.0,92.1,City_Core,36,18.0,8,4.0,0.5931,0.3539,0.75,0.4735,False,MP,35,4,0,0,4,False,,9552,117708,300,91,0.157,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,54.9,1010.0,834.0,74.0,0.089,Amber_Under,69.0,True,741.0,65652.0,0.011,True,959528.0,0.124,route_maps_kashmir/FDR-137.html
SRSR10105818-03,R0031,Soura to Hazratbal,MERGED_INTO_TRUNK,TRK-040,LPV / Tempo,8.337,Urban,1248.4,66.7,City_Core,16,8.0,6,3.0,0.6876,0.3562,1.25,0.5219,False,MP,35,0,0,0,0,False,,0,59647,134,41,0.0454,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,54.9,457.3,0.0,364.0,0.0,Red_NoCapacity,56.4,True,3636.0,29727.0,0.122,True,434477.0,0.141,route_maps_kashmir/TRK-040.html
SRSR10105060,R0032,Sora to LD,MERGED_INTO_TRUNK,FDR-114,LPV / Tempo,10.099,Urban,682.4,80.8,City_Core,20,10.0,8,4.0,0.9721,0.5242,1.25,0.7482,True,HP,20,0,0,0,0,False,,0,95384,256,75,0.1554,OSRM,False,Year_Round,False,False,False,False,96.0,969.5,0.0,156.0,0.0,Red_NoCapacity,55.9,True,1556.0,63018.0,0.025,False,921029.0,0.177,route_maps_kashmir/FDR-114.html
BGSR02102143-01,R0033,Parimpora to Rawalpora,RETAINED_AS_FEEDER,FDR-006,,14.409,Urban,938.3,115.3,City_Core,28,14.0,11,5.5,0.642,0.1392,0.75,0.3906,False,MP,35,5,0,5,0,False,,11337,97796,210,33,0.0999,OSRM,False,Year_Round,False,False,False,False,54.9,790.4,1457.0,173.0,0.119,Amber_Under,80.6,True,1729.0,51378.0,0.034,True,750915.0,0.147,route_maps_kashmir/FDR-006.html
BGSR02102143-02,R0034,Parimpora to Rawalpora,MERGED_INTO_TRUNK,FDR-006,Private Minibus,14.409,Urban,938.3,115.3,City_Core,28,14.0,11,5.5,0.642,0.1392,1.25,0.3906,False,MP,35,0,0,0,0,False,,0,97796,210,33,0.0999,OSRM,False,Year_Round,False,False,False,False,54.9,790.4,0.0,173.0,0.0,Red_NoCapacity,80.6,True,1729.0,51378.0,0.034,True,750915.0,0.147,route_maps_kashmir/FDR-006.html
BGSR02102143-03,R0035,Parimpora to Rawalpora,RETAINED_AS_FEEDER,FDR-008,,14.409,Urban,938.3,115.3,City_Core,28,14.0,11,5.5,0.642,0.1392,0.75,0.3906,False,MP,35,5,0,0,5,False,,11337,97796,210,33,0.0999,OSRM,False,Year_Round,False,False,False,False,54.9,790.4,833.0,173.0,0.208,Amber_Under,80.6,True,1729.0,51378.0,0.034,True,750915.0,0.147,route_maps_kashmir/FDR-008.html
SRSR10105860-08,R0036,Soura to LD,MERGED_INTO_TRUNK,TRK-044,LPV / Tempo,7.137,Urban,524.1,57.1,City_Core,14,7.0,8,4.0,1.0,0.5038,1.25,0.7519,True,HP,20,0,0,0,0,False,,0,71085,212,59,0.1488,OSRM,False,Year_Round,False,False,False,False,96.0,685.2,0.0,146.0,0.0,Red_NoCapacity,44.0,False,1462.0,44535.0,0.033,False,650894.0,0.159,route_maps_kashmir/TRK-044.html
SRSR10103406,R0037,Lalbazar to Qamarwari,RETAINED_AS_FEEDER,FDR-101,,8.695,Urban,1126.1,69.6,City_Core,17,8.5,12,6.0,0.9883,0.3605,0.75,0.6744,False,HP,20,5,0,5,0,False,,11785,83258,172,52,0.1112,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,96.0,834.7,2414.0,283.0,0.117,Amber_Under,50.3,True,2825.0,54257.0,0.052,True,792984.0,0.153,route_maps_kashmir/FDR-101.html
